                                  Acuracy  Precision    Recall  F1-score    F-beta       MCC      TP       TN  ROC Curve
Gaussian SVM Smote               0.648299   0.210557  0.805946  0.333885  0.514805  0.275124  2521.0  16021.0   0.717443
Sigmoid SVM No Balance           0.890633   0.000000  0.000000  0.000000  0.000000       NaN     0.0  25473.0   0.500000
Sigmoid SVM UnderSample          0.900773   0.889785  0.105818  0.189143  0.128454  0.287051   331.0  25432.0   0.552104
Sigmoid SVM OverSample           0.819657   0.222678  0.260550  0.240130  0.251979  0.139079   815.0  22628.0   0.574431
Sigmoid SVM Smote                0.819552   0.226967  0.270141  0.246679  0.260240  0.145766   845.0  22595.0   0.578579                                  Acuracy  Precision    Recall  F1-score    F-beta       MCC      TP       TN  ROC Curve
KNN No Balance                   0.942380   0.834842  0.589834  0.691270  0.626613  0.672664  1845.0  25108.0   0.787752
KNN UnderSample                  0.859935   0.425111  0.796675  0.554394  0.678132  0.513665  2492.0  22103.0   0.832189
KNN OverSample                   0.891542   0.502777  0.752558  0.602817  0.684541  0.557696  2354.0  23145.0   0.830583
KNN Smote                        0.882067   0.475795  0.769821  0.588106  0.685142  0.544392  2408.0  22820.0   0.832836
Decision Tree No Balance         0.938464   0.830754  0.549233  0.661278  0.589163  0.645295  1718.0  25123.0   0.767746
Decision Tree UnderSample        0.855425   0.421390  0.862852  0.566244  0.713379  0.537052  2699.0  21767.0   0.858682
Decision Tree OverSample         0.866753   0.442692  0.843350  0.580610  0.714092  0.547905  2638.0  22152.0   0.856489
Decision Tree Smote              0.897136   0.519779  0.781330  0.624266  0.709887  0.583283  2444.0  23215.0   0.846344
Random Forest No Balance         0.958218   0.905922  0.689578  0.783082  0.724166  0.769107  2157.0  25249.0   0.840392
Random Forest UnderSample        0.903884   0.536746  0.884910  0.668196  0.783293  0.642250  2768.0  23084.0   0.895562
Random Forest OverSample         0.955911   0.850544  0.724105  0.782248  0.746293  0.760935  2265.0  25075.0   0.854240
Random Forest Smote              0.950701   0.766936  0.789003  0.777813  0.784488  0.750189  2468.0  24723.0   0.879780
Logistic Regression No Balance   0.897801   0.908367  0.072890  0.134951  0.089321  0.240888   228.0  25450.0   0.535994
Logistic Regression UnderSample  0.759379   0.220268  0.472506  0.300468  0.384455  0.196731  1478.0  20241.0   0.633556
Logistic Regression OverSample   0.761232   0.258767  0.634591  0.367627  0.491750  0.289801  1985.0  19787.0   0.705687
Logistic Regression Smote        0.753785   0.275728  0.769182  0.405939  0.566438  0.353194  2406.0  19153.0   0.760538
Linear SVM No Balance            0.893151   0.833333  0.028772  0.055624  0.035658  0.142813    90.0  25455.0   0.514033
Linear SVM UnderSample           0.851893   0.320480  0.316176  0.318313  0.317028  0.235246   989.0  23376.0   0.616927
Linear SVM OverSample            0.808468   0.310116  0.613491  0.411979  0.513102  0.337977  1919.0  21204.0   0.722951
Linear SVM Smote                 0.677774   0.224824  0.795077  0.350529  0.527488  0.293793  2487.0  16898.0   0.729223
Gaussian SVM No Balance          0.896507   0.937500  0.057545  0.108434  0.070844  0.218138   180.0  25461.0   0.528537
Gaussian SVM UnderSample         0.876648   0.393276  0.235614  0.294682  0.256152  0.240878   737.0  24336.0   0.595489
Gaussian SVM OverSample          0.726618   0.253546  0.771419  0.381653  0.547687  0.326232  2413.0  18369.0   0.746268
Gaussian SVM Smote               0.648299   0.210557  0.805946  0.333885  0.514805  0.275124  2521.0  16021.0   0.717443
Sigmoid SVM No Balance           0.890633   0.000000  0.000000  0.000000  0.000000       NaN     0.0  25473.0   0.500000
Sigmoid SVM UnderSample          0.900773   0.889785  0.105818  0.189143  0.128454  0.287051   331.0  25432.0   0.552104
Sigmoid SVM OverSample           0.819657   0.222678  0.260550  0.240130  0.251979  0.139079   815.0  22628.0   0.574431
Sigmoid SVM Smote                0.819552   0.226967  0.270141  0.246679  0.260240  0.145766   845.0  22595.0   0.578579
Voting Soft No Balance           0.904129   0.948837  0.130435  0.229342  0.157626  0.332312   408.0  25451.0   0.564786
Voting Soft UnderSample          0.885319   0.486024  0.844949  0.617091  0.736212  0.584759  2643.0  22678.0   0.867612
Voting Soft OverSample           0.922870   0.616004  0.782609  0.689383  0.742448  0.652098  2448.0  23947.0   0.861351
Voting Soft Smote                0.921331   0.608181  0.789003  0.686891  0.744719  0.649889  2468.0  23883.0   0.863292
Voting Hard No Balance           0.898640   0.971193  0.075448  0.140018  0.092513  0.255619   236.0  25466.0   0.537586
Voting Hard UnderSample          0.895808   0.529226  0.428389  0.473498  0.445360  0.419258  1340.0  24281.0   0.690797
Voting Hard OverSample           0.895248   0.514404  0.753517  0.611414  0.689423  0.566830  2357.0  23248.0   0.833085
Voting Hard Smote                0.890004   0.498140  0.770460  0.605072  0.694524  0.562064  2410.0  23045.0   0.837572
